YEAR,HOSPITAL,Procedure/Condition,Risk Adjuested Mortality Rate,Risk Adjuested Mortality Rate,Hospital Ratings
2023,AHMC Seton Medical Center,Hip Fracture,0,0,As Expected
2023,AHMC Seton Medical Center,PCI,4.9,4.9,As Expected
2023,AHMC Seton Medical Center,Pneumonia,7.4,7.4,As Expected
2023,AHMC Seton Medical Center,GI Hemorrhage,0,0,Better
2023,Alameda Hospital,AMI,8.2,8.2,As Expected
2023,Alameda Hospital,Acute Stroke,5.6,5.6,As Expected
2023,Alameda Hospital,GI Hemorrhage,3.3,3.3,As Expected
2023,Alameda Hospital,Heart Failure,3.4,3.4,As Expected
2023,Alameda Hospital,Hip Fracture,0,0,As Expected
2023,Alameda Hospital,Pneumonia,2.7,2.7,Better
2023,Alhambra Hospital Medical Center,AMI,5.4,5.4,As Expected
2023,Alhambra Hospital Medical Center,Acute Stroke,4.3,4.3,As Expected
2023,Alhambra Hospital Medical Center,GI Hemorrhage,5.6,5.6,As Expected
2023,Alhambra Hospital Medical Center,Heart Failure,3.8,3.8,As Expected
2023,Alhambra Hospital Medical Center,Hip Fracture,0,0,As Expected
2023,Alhambra Hospital Medical Center,Pneumonia,9.6,9.6,Worse
2023,Alta Bates Summit Medical Center,Acute Stroke,9.9,9.9,As Expected
2023,Alta Bates Summit Medical Center,Carotid Endarterectomy,0,0,As Expected
2023,Alta Bates Summit Medical Center,GI Hemorrhage,2.1,2.1,As Expected
2023,Alta Bates Summit Medical Center,Heart Failure,2.1,2.1,As Expected
2023,Alta Bates Summit Medical Center,Hip Fracture,1.9,1.9,As Expected
2023,Alta Bates Summit Medical Center,PCI,2.7,2.7,As Expected
2023,Alta Bates Summit Medical Center,Pancreatic Resection,12.3,12.3,As Expected
2023,Alta Bates Summit Medical Center,AMI,3.6,3.6,Better
2023,Alta Bates Summit Medical Center,Pneumonia,2.4,2.4,Better
2023,Alta Bates Summit Medical Center – Alta Bates Campus,AMI,7.1,7.1,As Expected
2023,Alta Bates Summit Medical Center – Alta Bates Campus,GI Hemorrhage,2.2,2.2,As Expected
2023,Alta Bates Summit Medical Center – Alta Bates Campus,Heart Failure,2.1,2.1,As Expected
2023,Alta Bates Summit Medical Center – Alta Bates Campus,Hip Fracture,0.9,0.9,As Expected
2023,Alta Bates Summit Medical Center – Alta Bates Campus,Pneumonia,5.4,5.4,As Expected
2023,Alta Bates Summit Medical Center – Alta Bates Campus,Acute Stroke,5.3,5.3,Better
2023,Anaheim Global Medical Center,AMI,0,0,As Expected
2023,Anaheim Global Medical Center,Acute Stroke,0,0,As Expected
2023,Anaheim Global Medical Center,GI Hemorrhage,0,0,As Expected
2023,Anaheim Global Medical Center,Heart Failure,0,0,As Expected
2023,Anaheim Global Medical Center,Hip Fracture,0,0,As Expected
2023,Anaheim Global Medical Center,Pneumonia,4.7,4.7,As Expected
2023,Antelope Valley Medical Center,AMI,6.2,6.2,As Expected
2023,Antelope Valley Medical Center,Acute Stroke,8.9,8.9,As Expected
2023,Antelope Valley Medical Center,Carotid Endarterectomy,0,0,As Expected
2023,Antelope Valley Medical Center,Heart Failure,3.5,3.5,As Expected
2023,Antelope Valley Medical Center,Hip Fracture,0.9,0.9,As Expected
2023,Antelope Valley Medical Center,GI Hemorrhage,5.1,5.1,Worse
2023,Antelope Valley Medical Center,PCI,10.9,10.9,Worse
2023,Antelope Valley Medical Center,Pneumonia,10.4,10.4,Worse
2023,Arrowhead Regional Medical Center,AMI,3.4,3.4,As Expected
2023,Arrowhead Regional Medical Center,Acute Stroke,10.1,10.1,As Expected
2023,Arrowhead Regional Medical Center,Carotid Endarterectomy,0,0,As Expected
2023,Arrowhead Regional Medical Center,GI Hemorrhage,3.3,3.3,As Expected
2023,Arrowhead Regional Medical Center,Heart Failure,2.6,2.6,As Expected
2023,Arrowhead Regional Medical Center,Hip Fracture,0,0,As Expected
2023,Arrowhead Regional Medical Center,PCI,0,0,As Expected
2023,Arrowhead Regional Medical Center,Pancreatic Resection,0,0,As Expected
2023,Arrowhead Regional Medical Center,Pneumonia,8.1,8.1,As Expected
2023,Bakersfield Heart Hospital,AMI,4.2,4.2,As Expected
2023,Bakersfield Heart Hospital,Acute Stroke,7,7,As Expected
2023,Bakersfield Heart Hospital,GI Hemorrhage,0,0,As Expected
2023,Bakersfield Heart Hospital,Heart Failure,3.2,3.2,As Expected
2023,Bakersfield Heart Hospital,PCI,1.9,1.9,As Expected
2023,Bakersfield Heart Hospital,Pneumonia,15.1,15.1,Worse
2023,Bakersfield Memorial Hospital,Carotid Endarterectomy,0,0,As Expected
2023,Bakersfield Memorial Hospital,Hip Fracture,4.6,4.6,As Expected
2023,Bakersfield Memorial Hospital,PCI,5.2,5.2,As Expected
2023,Bakersfield Memorial Hospital,AMI,8.6,8.6,Worse
2023,Bakersfield Memorial Hospital,Acute Stroke,11.6,11.6,Worse
2023,Bakersfield Memorial Hospital,GI Hemorrhage,5,5,Worse
2023,Bakersfield Memorial Hospital,Heart Failure,4.6,4.6,Worse
2023,Bakersfield Memorial Hospital,Pneumonia,9.6,9.6,Worse
2023,Banner Lassen Medical Center,Acute Stroke,0,0,As Expected
2023,Banner Lassen Medical Center,GI Hemorrhage,0,0,As Expected
2023,Banner Lassen Medical Center,Heart Failure,4.7,4.7,As Expected
2023,Banner Lassen Medical Center,Hip Fracture,0,0,As Expected
2023,Banner Lassen Medical Center,Pneumonia,11.5,11.5,As Expected
2023,Barstow Community Hospital,AMI,0,0,As Expected
2023,Barstow Community Hospital,Acute Stroke,0,0,As Expected
2023,Barstow Community Hospital,GI Hemorrhage,3.1,3.1,As Expected
2023,Barstow Community Hospital,Heart Failure,0,0,As Expected
2023,Barstow Community Hospital,Hip Fracture,0,0,As Expected
2023,Barstow Community Hospital,Pneumonia,4.5,4.5,As Expected
2023,Barton Memorial Hospital,Acute Stroke,12.6,12.6,As Expected
2023,Barton Memorial Hospital,GI Hemorrhage,0,0,As Expected
2023,Barton Memorial Hospital,Heart Failure,0,0,As Expected
2023,Barton Memorial Hospital,Hip Fracture,0,0,As Expected
2023,Barton Memorial Hospital,Pneumonia,13,13,As Expected
2023,Bear Valley Community Hospital,Heart Failure,0,0,As Expected
2023,Bear Valley Community Hospital,Pneumonia,0,0,As Expected
2023,California Hospital Medical Center – Los Angeles,AMI,1.1,1.1,As Expected
2023,California Hospital Medical Center – Los Angeles,Acute Stroke,6.4,6.4,As Expected
2023,California Hospital Medical Center – Los Angeles,Carotid Endarterectomy,0,0,As Expected
2023,California Hospital Medical Center – Los Angeles,GI Hemorrhage,0.9,0.9,As Expected
2023,California Hospital Medical Center – Los Angeles,Heart Failure,1.7,1.7,As Expected
2023,California Hospital Medical Center – Los Angeles,Hip Fracture,4.4,4.4,As Expected
2023,California Hospital Medical Center – Los Angeles,PCI,2.2,2.2,As Expected
2023,California Hospital Medical Center – Los Angeles,Pneumonia,8.8,8.8,As Expected
2023,California Pacific Medical Center – Davies Campus Hospital,Acute Stroke,9,9,As Expected
2023,California Pacific Medical Center – Davies Campus Hospital,GI Hemorrhage,7,7,As Expected
2023,California Pacific Medical Center – Davies Campus Hospital,Heart Failure,1.6,1.6,As Expected
2023,California Pacific Medical Center – Davies Campus Hospital,Hip Fracture,0,0,As Expected
2023,California Pacific Medical Center – Davies Campus Hospital,Pneumonia,4.2,4.2,As Expected
2023,California Pacific Medical Center – Mission Bernal Campus,AMI,5.3,5.3,As Expected
2023,California Pacific Medical Center – Mission Bernal Campus,Acute Stroke,8.2,8.2,As Expected
2023,California Pacific Medical Center – Mission Bernal Campus,GI Hemorrhage,1.5,1.5,As Expected
2023,California Pacific Medical Center – Mission Bernal Campus,Heart Failure,2.4,2.4,As Expected
2023,California Pacific Medical Center – Mission Bernal Campus,Hip Fracture,1.6,1.6,As Expected
2023,California Pacific Medical Center – Mission Bernal Campus,Pneumonia,6.7,6.7,As Expected
2023,California Pacific Medical Center – Van Ness Campus,AMI,4,4,As Expected
2023,California Pacific Medical Center – Van Ness Campus,Acute Stroke,9.2,9.2,As Expected
2023,California Pacific Medical Center – Van Ness Campus,Carotid Endarterectomy,0,0,As Expected
2023,California Pacific Medical Center – Van Ness Campus,GI Hemorrhage,2.7,2.7,As Expected
2023,California Pacific Medical Center – Van Ness Campus,Heart Failure,2.9,2.9,As Expected
2023,California Pacific Medical Center – Van Ness Campus,Hip Fracture,0,0,As Expected
2023,California Pacific Medical Center – Van Ness Campus,PCI,3.4,3.4,As Expected
2023,California Pacific Medical Center – Van Ness Campus,Pancreatic Resection,5.3,5.3,As Expected
2023,California Pacific Medical Center – Van Ness Campus,Pneumonia,6.9,6.9,As Expected
2023,Casa Colina Hospital,GI Hemorrhage,0,0,As Expected
2023,Casa Colina Hospital,Heart Failure,0,0,As Expected
2023,Casa Colina Hospital,Hip Fracture,0,0,As Expected
2023,Casa Colina Hospital,Pneumonia,6.9,6.9,As Expected
2023,Catalina Island Medical Center,Heart Failure,0,0,As Expected
2023,Cedars – Sinai Marina Hospital,AMI,0,0,As Expected
2023,Cedars – Sinai Marina Hospital,Acute Stroke,5.3,5.3,As Expected
2023,Cedars – Sinai Marina Hospital,GI Hemorrhage,0,0,As Expected
2023,Cedars – Sinai Marina Hospital,Heart Failure,2.5,2.5,As Expected
2023,Cedars – Sinai Marina Hospital,Hip Fracture,3.8,3.8,As Expected
2023,Cedars – Sinai Marina Hospital,Pneumonia,6.2,6.2,As Expected
2023,Cedars – Sinai Medical Center,AMI,5.1,5.1,As Expected
2023,Cedars – Sinai Medical Center,Acute Stroke,8.9,8.9,As Expected
2023,Cedars – Sinai Medical Center,Carotid Endarterectomy,0,0,As Expected
2023,Cedars – Sinai Medical Center,GI Hemorrhage,2.9,2.9,As Expected
2023,Cedars – Sinai Medical Center,Heart Failure,2.4,2.4,As Expected
2023,Cedars – Sinai Medical Center,Hip Fracture,1.5,1.5,As Expected
2023,Cedars – Sinai Medical Center,PCI,3.7,3.7,As Expected
2023,Cedars – Sinai Medical Center,Pancreatic Resection,1.5,1.5,As Expected
2023,Cedars – Sinai Medical Center,Pneumonia,7.3,7.3,As Expected
2023,Centinela Hospital Medical Center,AMI,4.1,4.1,As Expected
2023,Centinela Hospital Medical Center,Acute Stroke,6.9,6.9,As Expected
2023,Centinela Hospital Medical Center,Carotid Endarterectomy,0,0,As Expected
2023,Centinela Hospital Medical Center,GI Hemorrhage,2.3,2.3,As Expected
2023,Centinela Hospital Medical Center,Hip Fracture,0,0,As Expected
2023,Centinela Hospital Medical Center,PCI,2.3,2.3,As Expected
2023,Centinela Hospital Medical Center,Pneumonia,5.6,5.6,As Expected
2023,Centinela Hospital Medical Center,Heart Failure,1.1,1.1,Better
2023,Chapman Global Medical Center,AMI,0,0,As Expected
2023,Chapman Global Medical Center,Acute Stroke,0,0,As Expected
2023,Chapman Global Medical Center,GI Hemorrhage,0,0,As Expected
2023,Chapman Global Medical Center,Heart Failure,0,0,As Expected
2023,Chapman Global Medical Center,Hip Fracture,0,0,As Expected
2023,Chapman Global Medical Center,Pneumonia,10.1,10.1,As Expected
2023,Chinese Hospital,AMI,9.9,9.9,As Expected
2023,Chinese Hospital,Acute Stroke,0,0,As Expected
2023,Chinese Hospital,GI Hemorrhage,0,0,As Expected
2023,Chinese Hospital,Heart Failure,3.1,3.1,As Expected
2023,Chinese Hospital,Hip Fracture,0,0,As Expected
2023,Chinese Hospital,Pneumonia,8.5,8.5,As Expected
2023,Chino Valley Medical Center,AMI,3.8,3.8,As Expected
2023,Chino Valley Medical Center,Acute Stroke,0,0,As Expected
2023,Chino Valley Medical Center,GI Hemorrhage,0,0,As Expected
2023,Chino Valley Medical Center,Heart Failure,0.5,0.5,As Expected
2023,Chino Valley Medical Center,Hip Fracture,6.5,6.5,As Expected
2023,Chino Valley Medical Center,PCI,0,0,As Expected
2023,Chino Valley Medical Center,Pneumonia,4.2,4.2,As Expected
2023,City of Hope Helford Clinical Research Hospital,AMI,6.6,6.6,As Expected
2023,City of Hope Helford Clinical Research Hospital,GI Hemorrhage,0,0,As Expected
2023,City of Hope Helford Clinical Research Hospital,Heart Failure,0,0,As Expected
2023,City of Hope Helford Clinical Research Hospital,Pancreatic Resection,0,0,As Expected
2023,City of Hope Helford Clinical Research Hospital,Pneumonia,7.9,7.9,As Expected
2023,City of Hope Helford Clinical Research Hospital,Acute Stroke,29.3,29.3,Worse
2023,Clovis Community Medical Center,AMI,6.7,6.7,As Expected
2023,Clovis Community Medical Center,Acute Stroke,5.7,5.7,As Expected
2023,Clovis Community Medical Center,Hip Fracture,2.1,2.1,As Expected
2023,Clovis Community Medical Center,PCI,2.6,2.6,As Expected
2023,Clovis Community Medical Center,Pancreatic Resection,6.5,6.5,As Expected
2023,Clovis Community Medical Center,Pneumonia,7.5,7.5,As Expected
2023,Clovis Community Medical Center,GI Hemorrhage,4.9,4.9,Worse
2023,Clovis Community Medical Center,Heart Failure,4.7,4.7,Worse
2023,Coalinga Regional Medical Center,Acute Stroke,26.3,26.3,As Expected
2023,Coalinga Regional Medical Center,Heart Failure,23.9,23.9,As Expected
2023,Coalinga Regional Medical Center,Pneumonia,6.4,6.4,As Expected
2023,Coast Plaza Hospital,AMI,0,0,As Expected
2023,Coast Plaza Hospital,Acute Stroke,9.5,9.5,As Expected
2023,Coast Plaza Hospital,GI Hemorrhage,4.2,4.2,As Expected
2023,Coast Plaza Hospital,Hip Fracture,0,0,As Expected
2023,Coast Plaza Hospital,Heart Failure,8.3,8.3,Worse
2023,Coast Plaza Hospital,Pneumonia,11.2,11.2,Worse
2023,College Medical Center,AMI,0,0,As Expected
2023,College Medical Center,Acute Stroke,0,0,As Expected
2023,College Medical Center,GI Hemorrhage,3.3,3.3,As Expected
2023,College Medical Center,Heart Failure,4.7,4.7,As Expected
2023,College Medical Center,Hip Fracture,4.7,4.7,As Expected
2023,College Medical Center,Pneumonia,11.5,11.5,As Expected
2023,Colorado River Medical Center,Heart Failure,0,0,As Expected
2023,Colorado River Medical Center,Pneumonia,0,0,As Expected
2023,Colusa Medical Center,Heart Failure,0,0,As Expected
2023,Colusa Medical Center,Pneumonia,3.4,3.4,As Expected
2023,Colusa Medical Center,GI Hemorrhage,55.6,55.6,Worse
2023,Community Hospital of Huntington Park,AMI,5.6,5.6,As Expected
2023,Community Hospital of Huntington Park,Acute Stroke,0,0,As Expected
2023,Community Hospital of Huntington Park,GI Hemorrhage,0,0,As Expected
2023,Community Hospital of Huntington Park,Heart Failure,1.5,1.5,As Expected
2023,Community Hospital of Huntington Park,Hip Fracture,0,0,As Expected
2023,Community Hospital of Huntington Park,Pneumonia,9.1,9.1,As Expected
2023,Community Hospital of San Bernardino,AMI,0,0,As Expected
2023,Community Hospital of San Bernardino,Acute Stroke,4.2,4.2,As Expected
2023,Community Hospital of San Bernardino,GI Hemorrhage,2.1,2.1,As Expected
2023,Community Hospital of San Bernardino,Heart Failure,1.4,1.4,As Expected
2023,Community Hospital of San Bernardino,Hip Fracture,0,0,As Expected
2023,Community Hospital of San Bernardino,Pneumonia,3,3,As Expected
2023,Community Hospital of the Monterey Peninsula,AMI,6.5,6.5,As Expected
2023,Community Hospital of the Monterey Peninsula,Acute Stroke,8.8,8.8,As Expected
2023,Community Hospital of the Monterey Peninsula,Carotid Endarterectomy,0,0,As Expected
2023,Community Hospital of the Monterey Peninsula,GI Hemorrhage,1.7,1.7,As Expected
2023,Community Hospital of the Monterey Peninsula,Heart Failure,3.5,3.5,As Expected
2023,Community Hospital of the Monterey Peninsula,Hip Fracture,3.3,3.3,As Expected
2023,Community Hospital of the Monterey Peninsula,PCI,3.5,3.5,As Expected
2023,Community Hospital of the Monterey Peninsula,Pancreatic Resection,0,0,As Expected
2023,Community Hospital of the Monterey Peninsula,Pneumonia,6,6,As Expected
2023,Community Memorial Hospital – Ojai,Heart Failure,0,0,As Expected
2023,Community Memorial Hospital – Ojai,Pneumonia,15.4,15.4,As Expected
2023,Community Memorial Hospital – San Buenaventura,AMI,3.6,3.6,As Expected
2023,Community Memorial Hospital – San Buenaventura,Acute Stroke,7.4,7.4,As Expected
2023,Community Memorial Hospital – San Buenaventura,Carotid Endarterectomy,0,0,As Expected
2023,Community Memorial Hospital – San Buenaventura,GI Hemorrhage,2.9,2.9,As Expected
2023,Community Memorial Hospital – San Buenaventura,Heart Failure,3.1,3.1,As Expected
2023,Community Memorial Hospital – San Buenaventura,Hip Fracture,0,0,As Expected
2023,Community Memorial Hospital – San Buenaventura,PCI,3.3,3.3,As Expected
2023,Community Memorial Hospital – San Buenaventura,Pneumonia,7.6,7.6,As Expected
2023,Community Regional Medical Center – Fresno,AMI,5.9,5.9,As Expected
2023,Community Regional Medical Center – Fresno,Carotid Endarterectomy,2.1,2.1,As Expected
2023,Community Regional Medical Center – Fresno,GI Hemorrhage,2.6,2.6,As Expected
2023,Community Regional Medical Center – Fresno,Hip Fracture,1.7,1.7,As Expected
2023,Community Regional Medical Center – Fresno,PCI,3.3,3.3,As Expected
2023,Community Regional Medical Center – Fresno,Pancreatic Resection,0,0,As Expected
2023,Community Regional Medical Center – Fresno,Acute Stroke,9.5,9.5,Worse
2023,Community Regional Medical Center – Fresno,Heart Failure,4.3,4.3,Worse
2023,Community Regional Medical Center – Fresno,Pneumonia,8.6,8.6,Worse
2023,Contra Costa Regional Medical Center,AMI,0,0,As Expected
2023,Contra Costa Regional Medical Center,Acute Stroke,4.7,4.7,As Expected
2023,Contra Costa Regional Medical Center,GI Hemorrhage,5.2,5.2,As Expected
2023,Contra Costa Regional Medical Center,Heart Failure,3.3,3.3,As Expected
2023,Contra Costa Regional Medical Center,Hip Fracture,0,0,As Expected
2023,Contra Costa Regional Medical Center,Pneumonia,10.5,10.5,As Expected
2023,Corona Regional Medical Center – Main,AMI,5,5,As Expected
2023,Corona Regional Medical Center – Main,Acute Stroke,9.5,9.5,As Expected
2023,Corona Regional Medical Center – Main,GI Hemorrhage,2.6,2.6,As Expected
2023,Corona Regional Medical Center – Main,Heart Failure,2.3,2.3,As Expected
2023,Corona Regional Medical Center – Main,Hip Fracture,2.5,2.5,As Expected
2023,Corona Regional Medical Center – Main,PCI,1.7,1.7,As Expected
